epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2651.9,0.30087,0.29424,0.3884,0.81207,0,0.96806,0.93449,0.97788,0.95776,0.96806,0.93449,0.97788,0.9451,0.24283,0.2638,0.35926,0.78086,0,0.000305536,0.000305536,0.000305536
29,2746.39,0.28549,0.28858,0.37621,0.81231,0,0.95827,0.92245,0.97432,0.95252,0.95827,0.92245,0.97432,0.94318,0.24487,0.26199,0.36497,0.78291,0,0.000301408,0.000301408,0.000301408
30,2840.48,0.2768,0.2875,0.35444,0.80569,0,0.97449,0.94291,0.9875,0.9675,0.97449,0.94291,0.9875,0.95487,0.23593,0.25769,0.32353,0.78118,0,0.000297279,0.000297279,0.000297279
31,2933.2,0.28413,0.28408,0.35558,0.80845,0,0.96231,0.94642,0.98538,0.96301,0.96309,0.94718,0.98548,0.95724,0.24393,0.25957,0.32786,0.78267,0,0.000293151,0.000293151,0.000293151
32,3029.98,0.29001,0.29741,0.35399,0.81241,0,0.95522,0.93369,0.9729,0.95163,0.95522,0.93369,0.9729,0.94306,0.23226,0.26145,0.3301,0.78115,0,0.000289023,0.000289023,0.000289023
33,3122.74,0.29033,0.29144,0.35353,0.81374,0,0.95332,0.93264,0.9752,0.95216,0.95332,0.93264,0.9752,0.94433,0.23274,0.25558,0.33703,0.78159,0,0.000284894,0.000284894,0.000284894
34,3213.01,0.27936,0.28964,0.33892,0.80571,0,0.95512,0.93627,0.97673,0.95464,0.95512,0.93627,0.97673,0.94514,0.23493,0.26201,0.33612,0.78204,0,0.000280766,0.000280766,0.000280766
35,3305.67,0.28404,0.30236,0.34481,0.8051,0,0.96229,0.93776,0.97268,0.95343,0.96229,0.93776,0.97268,0.94623,0.2282,0.25565,0.32166,0.77962,0,0.000276638,0.000276638,0.000276638
36,3396.79,0.27738,0.27971,0.33748,0.80536,0,0.96025,0.93957,0.98532,0.96593,0.96025,0.93957,0.98532,0.95279,0.2287,0.26506,0.30758,0.78072,0,0.000272509,0.000272509,0.000272509
37,3487.72,0.27845,0.28267,0.33365,0.80833,0,0.96661,0.9497,0.98589,0.96624,0.96661,0.9497,0.98589,0.95516,0.23989,0.25586,0.30852,0.78215,0,0.000268381,0.000268381,0.000268381
38,3580.3,0.27802,0.27917,0.33068,0.80612,0,0.96442,0.94773,0.98263,0.96383,0.96442,0.94773,0.98263,0.95351,0.22831,0.25966,0.3064,0.77985,0,0.000264253,0.000264253,0.000264253
39,3674.55,0.27764,0.27003,0.32253,0.80828,0,0.95987,0.95228,0.98078,0.96461,0.95987,0.95228,0.98078,0.95108,0.22446,0.25531,0.29944,0.77945,0,0.000260125,0.000260125,0.000260125
40,3767.62,0.26928,0.27228,0.31406,0.80675,0,0.96563,0.93287,0.97937,0.9625,0.96563,0.93287,0.97937,0.94588,0.2255,0.25605,0.29951,0.77974,0,0.000255996,0.000255996,0.000255996
41,3861.7,0.26795,0.2764,0.31495,0.80834,0,0.95847,0.94535,0.98147,0.96349,0.95847,0.94535,0.98147,0.95033,0.2232,0.25962,0.2981,0.77921,0,0.000251868,0.000251868,0.000251868
42,3951.17,0.27568,0.28069,0.32236,0.80385,0,0.94016,0.93899,0.9652,0.948,0.94016,0.93899,0.9652,0.93277,0.23682,0.25834,0.32233,0.78032,0,0.00024774,0.00024774,0.00024774
43,4042.62,0.2671,0.27058,0.30437,0.80667,0,0.95171,0.94688,0.97742,0.9595,0.95171,0.94688,0.97742,0.94901,0.22198,0.25462,0.28519,0.77879,0,0.000243611,0.000243611,0.000243611
44,4134.69,0.26688,0.27807,0.30561,0.80637,0,0.95186,0.94443,0.97703,0.959,0.95186,0.94443,0.97703,0.94947,0.22661,0.2598,0.3026,0.77993,0,0.000239483,0.000239483,0.000239483
45,4229.27,0.26675,0.27105,0.30957,0.80784,0,0.9648,0.93707,0.98199,0.96445,0.9648,0.93707,0.98199,0.95223,0.21769,0.25726,0.27905,0.77789,0,0.000235355,0.000235355,0.000235355
46,4321.21,0.26741,0.28351,0.30196,0.80579,0,0.97199,0.94797,0.97924,0.96224,0.97199,0.94797,0.97924,0.94741,0.22432,0.26155,0.28144,0.77936,0,0.000231226,0.000231226,0.000231226
47,4414.16,0.26598,0.27383,0.29267,0.80527,0,0.95417,0.95147,0.97838,0.9593,0.95417,0.95147,0.97862,0.94946,0.22501,0.25858,0.28783,0.77951,0,0.000227098,0.000227098,0.000227098
